timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:06:43.217, 5 %, 0 %, 20081 MiB, 81920 MiB, 46, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:43.468, 4 %, 0 %, 20081 MiB, 81920 MiB, 45, 97.83 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:43.718, 28 %, 17 %, 20081 MiB, 81920 MiB, 53, 389.88 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:43.970, 100 %, 67 %, 20081 MiB, 81920 MiB, 56, 398.99 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:44.221, 100 %, 66 %, 20081 MiB, 81920 MiB, 57, 404.45 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:44.471, 100 %, 49 %, 20081 MiB, 81920 MiB, 56, 396.54 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:44.722, 58 %, 22 %, 20081 MiB, 81920 MiB, 49, 101.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:44.972, 5 %, 0 %, 20081 MiB, 81920 MiB, 46, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:45.222, 5 %, 0 %, 20081 MiB, 81920 MiB, 46, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:45.474, 5 %, 0 %, 20081 MiB, 81920 MiB, 45, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:45.724, 34 %, 22 %, 20081 MiB, 81920 MiB, 54, 399.27 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:45.974, 100 %, 67 %, 20081 MiB, 81920 MiB, 56, 400.79 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:46.225, 100 %, 65 %, 20081 MiB, 81920 MiB, 57, 346.47 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:46.475, 100 %, 49 %, 20081 MiB, 81920 MiB, 59, 408.38 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:46.726, 73 %, 30 %, 20081 MiB, 81920 MiB, 50, 103.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:46.976, 8 %, 0 %, 20081 MiB, 81920 MiB, 47, 97.22 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:47.252, 4 %, 0 %, 20081 MiB, 81920 MiB, 46, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:47.502, 5 %, 0 %, 20081 MiB, 81920 MiB, 48, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:47.753, 73 %, 48 %, 20081 MiB, 81920 MiB, 55, 371.70 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:48.066, 100 %, 68 %, 20081 MiB, 81920 MiB, 56, 409.91 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:48.316, 100 %, 65 %, 20081 MiB, 81920 MiB, 59, 407.18 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:48.566, 86 %, 39 %, 20081 MiB, 81920 MiB, 49, 97.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:48.817, 12 %, 0 %, 20081 MiB, 81920 MiB, 47, 97.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:49.068, 3 %, 0 %, 20081 MiB, 81920 MiB, 46, 95.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:49.319, 5 %, 0 %, 20081 MiB, 81920 MiB, 45, 96.29 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:49.569, 50 %, 33 %, 20081 MiB, 81920 MiB, 55, 329.70 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:49.820, 100 %, 65 %, 20081 MiB, 81920 MiB, 57, 398.34 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:50.071, 100 %, 67 %, 20081 MiB, 81920 MiB, 58, 395.34 W, 400.00 W, 1395 MHz, 1593 MHz, P0
