timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/08 23:28:45.008, 46 %, 12 %, 3103 MiB, 81920 MiB, 46, 172.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:45.259, 41 %, 10 %, 2143 MiB, 81920 MiB, 45, 108.93 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:45.509, 46 %, 13 %, 2103 MiB, 81920 MiB, 46, 98.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:45.760, 39 %, 14 %, 2223 MiB, 81920 MiB, 45, 131.45 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:46.010, 39 %, 11 %, 2263 MiB, 81920 MiB, 45, 175.77 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:46.260, 29 %, 6 %, 2463 MiB, 81920 MiB, 46, 318.99 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:46.511, 55 %, 8 %, 2743 MiB, 81920 MiB, 46, 271.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:46.762, 48 %, 14 %, 3643 MiB, 81920 MiB, 46, 155.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:47.012, 51 %, 14 %, 3383 MiB, 81920 MiB, 46, 134.77 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:47.263, 46 %, 12 %, 2825 MiB, 81920 MiB, 46, 149.65 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:47.514, 63 %, 31 %, 5427 MiB, 81920 MiB, 50, 386.22 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:47.765, 95 %, 37 %, 5431 MiB, 81920 MiB, 46, 96.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:48.016, 6 %, 0 %, 5431 MiB, 81920 MiB, 44, 95.67 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:48.267, 4 %, 0 %, 5431 MiB, 81920 MiB, 43, 94.80 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:48.517, 4 %, 0 %, 5991 MiB, 81920 MiB, 43, 93.87 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:48.768, 4 %, 0 %, 18511 MiB, 81920 MiB, 50, 393.52 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:49.019, 100 %, 66 %, 18511 MiB, 81920 MiB, 52, 386.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:49.270, 100 %, 66 %, 18511 MiB, 81920 MiB, 52, 336.90 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:49.520, 100 %, 59 %, 18511 MiB, 81920 MiB, 52, 397.43 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:49.771, 100 %, 50 %, 18511 MiB, 81920 MiB, 46, 99.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:50.021, 2 %, 0 %, 18511 MiB, 81920 MiB, 44, 94.97 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:50.272, 4 %, 0 %, 18511 MiB, 81920 MiB, 44, 95.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:50.522, 4 %, 0 %, 18511 MiB, 81920 MiB, 43, 94.37 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:50.773, 3 %, 0 %, 18511 MiB, 81920 MiB, 43, 96.23 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:51.023, 75 %, 50 %, 18511 MiB, 81920 MiB, 51, 357.77 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:51.274, 100 %, 68 %, 18511 MiB, 81920 MiB, 52, 394.11 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:51.524, 100 %, 66 %, 18511 MiB, 81920 MiB, 53, 390.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:51.775, 100 %, 55 %, 18511 MiB, 81920 MiB, 50, 390.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:52.025, 18 %, 0 %, 18511 MiB, 81920 MiB, 45, 94.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:52.276, 2 %, 0 %, 18511 MiB, 81920 MiB, 44, 95.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:52.527, 4 %, 0 %, 18511 MiB, 81920 MiB, 44, 94.47 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:52.777, 4 %, 0 %, 18511 MiB, 81920 MiB, 45, 96.33 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:53.028, 98 %, 65 %, 18511 MiB, 81920 MiB, 51, 410.43 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:53.279, 100 %, 68 %, 18511 MiB, 81920 MiB, 52, 363.49 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:53.529, 100 %, 65 %, 18511 MiB, 81920 MiB, 54, 394.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:53.780, 100 %, 52 %, 18511 MiB, 81920 MiB, 49, 135.37 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:54.030, 12 %, 0 %, 18511 MiB, 81920 MiB, 45, 95.40 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:54.281, 2 %, 0 %, 18511 MiB, 81920 MiB, 45, 96.82 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:54.531, 5 %, 1 %, 18511 MiB, 81920 MiB, 44, 94.97 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:54.782, 4 %, 0 %, 18511 MiB, 81920 MiB, 44, 94.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:55.032, 90 %, 60 %, 18511 MiB, 81920 MiB, 51, 392.59 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:55.283, 100 %, 68 %, 18511 MiB, 81920 MiB, 53, 401.08 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:55.533, 100 %, 64 %, 18511 MiB, 81920 MiB, 54, 390.80 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:55.784, 100 %, 54 %, 18511 MiB, 81920 MiB, 54, 391.07 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:56.034, 28 %, 5 %, 18511 MiB, 81920 MiB, 46, 95.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
